id,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,fault_type
958,759,768,3896732,3896740,54,10,8,6028,90,127,1690,1,0,70,0.8982,0.25,0.8889,0.0053,0.9,1.0,0.0,-0.1111,-0.1279,0.1773,Bumps
94,1343,1352,106512,106519,52,9,7,5049,87,109,1366,0,1,100,0.0205,0.1746,0.7778,0.0066,1.0,1.0,0.0,-0.2222,-0.2414,0.1687,Pastry
868,1095,1102,3028545,3028556,41,8,11,4533,100,123,1467,1,0,120,0.4976,0.4675,0.6364,0.0048,0.875,1.0,1.0,0.3636,-0.1362,0.1822,Bumps
966,251,260,961360,961371,67,11,11,7550,99,125,1364,1,0,70,0.368,0.3232,0.8182,0.0066,0.8182,1.0,1.0,0.1818,-0.1196,0.2051,Bumps
1592,15,149,2278497,2278909,37334,908,903,3918209,19,134,1387,0,1,40,0.0216,0.3238,0.3252,0.0966,0.1476,0.4563,1.0,0.6748,-0.1801,1.0,Other_Faults
167,81,94,162885,162940,395,54,59,41476,92,127,1356,1,0,70,0.1195,0.4475,0.2364,0.0096,0.2407,0.9322,1.0,0.7636,-0.1797,0.94,Z_Scratch
1392,281,339,2295428,2295433,122,58,13,14877,116,134,1356,0,1,40,0.4144,0.5793,0.0862,0.0428,1.0,0.3846,0.0,-0.9138,-0.0473,0.4796,Other_Faults
1242,634,655,5303273,5303295,336,30,25,35912,79,127,1362,0,1,40,0.931,0.2727,0.9546,0.0154,0.7,0.88,1.0,0.0454,-0.165,0.7436,Bumps
1622,1563,1587,1398598,1398603,80,25,11,8595,97,117,1652,1,0,70,0.0787,0.3333,0.2083,0.0145,0.96,0.4545,0.0,-0.7917,-0.1606,0.2288,Other_Faults
1093,1145,1157,2613103,2613123,168,15,20,19901,105,135,1362,0,1,40,0.301,0.3,0.6,0.0088,0.8,1.0,1.0,0.4,-0.0745,0.3977,Bumps
1738,798,825,1519629,1519634,65,28,8,8344,118,143,1648,1,0,69,0.9685,0.5185,0.1852,0.0164,0.9643,0.625,0.0,-0.8148,0.0029,0.2469,Other_Faults
1128,749,768,337093,337112,262,21,19,29349,88,133,1360,0,1,40,0.8706,0.2742,1.0,0.014,0.9048,1.0,0.5,0.0,-0.1248,0.5967,Bumps
220,168,201,983776,983827,694,60,53,77691,94,127,1354,1,0,70,0.2482,0.5876,0.6471,0.0244,0.55,0.9623,1.0,0.3529,-0.1254,0.9999,Z_Scratch
959,188,198,3942253,3942263,74,11,10,8375,95,134,1688,1,0,70,0.2227,0.26,1.0,0.0059,0.9091,1.0,0.5,0.0,-0.1158,0.2061,Bumps
1162,387,403,1349016,1349036,231,25,20,23488,65,126,1694,1,0,80,0.4569,0.2781,0.8,0.0094,0.64,1.0,1.0,0.2,-0.2056,0.5296,Bumps
287,41,56,1939590,1939602,117,22,14,11647,89,110,1356,1,0,70,0.0605,0.35,0.8,0.0111,0.6818,0.8571,0.0,-0.2,-0.2223,0.3068,Z_Scratch
1138,71,86,1119116,1119168,446,43,52,48231,96,127,1308,0,1,40,0.1086,0.4282,0.2885,0.0115,0.3488,1.0,1.0,0.7115,-0.1551,0.9603,Bumps
1903,1275,1300,883635,883640,73,28,14,9247,111,143,1692,1,0,143,0.4634,0.416,0.2,0.0148,0.8929,0.3571,0.0,-0.8,-0.0104,0.2348,Other_Faults
1469,799,806,1029590,1029596,33,9,6,3751,105,126,1698,0,1,60,0.9411,0.2143,0.8571,0.0041,0.7778,1.0,0.0,-0.1429,-0.112,0.1499,Other_Faults
936,1063,1071,1593977,1593992,90,12,15,10036,93,135,1692,1,0,60,0.734,0.25,0.5333,0.0047,0.6667,1.0,1.0,0.4667,-0.1288,0.2288,Bumps
641,43,218,1981417,1981492,7327,234,119,750685,35,126,1358,0,1,40,0.0633,0.4417,0.4286,0.1289,0.7479,0.6302,0.0,-0.5714,-0.1996,1.0,K_Scatch
349,853,861,31984,31995,66,9,11,12872,178,207,1387,0,1,40,0.7585,0.25,0.7273,0.0058,0.8889,1.0,1.0,0.2727,0.5237,0.1934,K_Scatch
1195,1157,1164,1331507,1331522,62,13,15,7312,109,127,1322,0,1,40,0.239,0.4095,0.4667,0.0053,0.5385,1.0,1.0,0.5333,-0.0786,0.2116,Bumps
1111,1131,1159,288152,288161,112,44,16,14403,120,141,1364,0,1,100,0.3006,0.5556,0.3214,0.0205,0.6364,0.5625,0.0,-0.6786,0.0047,0.417,Bumps
5,430,441,100250,100337,630,20,87,62357,64,127,1387,0,1,40,0.62,0.3417,0.1264,0.0079,0.55,1.0,1.0,0.8736,-0.2267,0.9874,Pastry
145,450,466,11741476,11741833,3319,221,357,363821,37,133,1360,0,1,40,0.6618,0.4189,0.0448,0.0118,0.0724,1.0,1.0,0.9552,-0.1436,1.0,Pastry
1351,525,563,1054602,1054610,170,44,15,21321,118,134,1687,0,1,200,0.6224,0.4408,0.2105,0.0225,0.8636,0.5333,0.0,-0.7895,-0.0202,0.5029,Other_Faults
1153,284,335,841077,841149,1095,192,134,142791,117,150,1694,1,0,80,0.3353,0.7018,0.7083,0.0301,0.2656,0.5373,1.0,0.2917,0.0188,1.0,Bumps
931,1051,1066,1250608,1250629,184,23,21,20124,82,127,1690,1,0,60,0.7385,0.4159,0.7143,0.0089,0.6522,1.0,1.0,0.2857,-0.1455,0.5212,Bumps
1134,581,652,148364,148463,3187,208,198,336567,87,127,1306,0,1,40,0.8897,0.5466,0.7172,0.0544,0.3413,0.5,1.0,0.2828,-0.175,1.0,Bumps
7,190,200,210936,210956,132,11,20,20007,124,172,1687,0,1,150,0.2253,0.34,0.5,0.0059,0.9091,1.0,1.0,0.5,0.1841,0.3359,Pastry
1215,1063,1083,3257887,3257901,102,27,15,9714,84,116,1362,1,0,80,0.4097,0.6357,0.7,0.0147,0.7407,0.9333,0.0,-0.3,-0.256,0.463,Bumps
546,51,175,249693,249742,3631,179,96,378154,45,125,1362,0,1,40,0.0749,0.4024,0.3952,0.091,0.6927,0.5104,0.0,-0.6048,-0.1864,1.0,K_Scatch
1559,1338,1350,1313692,1313714,126,32,24,16734,125,143,1630,1,0,100,0.3436,0.5227,0.5454,0.0074,0.375,0.9167,1.0,0.4545,0.0376,0.4366,Other_Faults
540,50,181,168027,168086,3912,226,105,407966,29,135,1362,0,1,40,0.0734,0.4938,0.4504,0.0962,0.5796,0.5619,0.0,-0.5496,-0.1853,1.0,K_Scatch
99,374,382,2670756,2670772,102,11,16,11385,95,127,1692,0,1,70,0.4421,0.2031,0.5,0.0047,0.7273,1.0,1.0,0.5,-0.128,0.2384,Pastry
1180,1611,1629,1720569,1720592,263,25,23,24172,59,124,1688,1,0,70,0.0699,0.3647,0.7826,0.0107,0.72,1.0,1.0,0.2174,-0.282,0.6781,Bumps
1650,329,336,1319063,1319076,68,11,13,7451,97,124,1360,0,1,130,0.4838,0.2528,0.5385,0.0052,0.6364,1.0,1.0,0.4615,-0.144,0.1965,Other_Faults
1613,1420,1595,23288,23316,2782,179,42,334869,66,159,1688,1,0,70,0.1102,0.4322,0.16,0.1037,0.9776,0.6667,0.0,-0.84,-0.0596,1.0,Other_Faults
1672,317,337,5082496,5082524,206,27,28,22484,95,127,1614,1,0,200,0.3928,0.6321,0.7143,0.0124,0.7407,1.0,1.0,0.2857,-0.1473,0.8479,Other_Faults
1685,51,76,185988,186088,1126,88,115,118631,93,119,1360,0,1,200,0.075,0.5496,0.25,0.0184,0.2841,0.8696,1.0,0.75,-0.1769,1.0,Other_Faults
1717,158,177,587778,587795,146,38,22,19116,124,140,1387,0,1,40,0.2278,0.548,0.8947,0.0137,0.5,0.7727,0.0,-0.1053,0.0229,0.5345,Other_Faults
1096,362,388,2839568,2839625,1015,49,59,105560,76,132,1364,0,1,40,0.5308,0.3151,0.4561,0.0191,0.5306,0.9661,1.0,0.5439,-0.1875,0.9996,Bumps
517,39,185,2442600,2442673,5576,235,133,598862,43,135,1400,0,1,40,0.0557,0.4768,0.5,0.1043,0.6213,0.5489,0.0,-0.5,-0.1609,1.0,K_Scatch
478,41,206,1721788,1721968,12051,631,390,1383987,33,140,1402,0,1,40,0.0585,0.5942,0.9167,0.1177,0.2615,0.4615,1.0,0.0833,-0.1028,1.0,K_Scatch
1390,211,615,2277118,2277134,3256,417,106,345545,89,127,1356,0,1,40,0.3112,0.4963,0.0396,0.2979,0.9688,0.1509,0.0,-0.9604,-0.1709,1.0,Other_Faults
1360,505,522,1998060,1998064,29,18,6,3489,116,126,1358,0,1,50,0.7437,0.5735,0.2353,0.0125,0.9444,0.6667,0.0,-0.7647,-0.0601,0.1734,Other_Faults
1621,1101,1116,1378026,1378057,278,32,33,23817,68,103,1654,1,0,70,0.6505,0.4022,0.4839,0.0091,0.4688,0.9394,1.0,0.5161,-0.3307,0.7474,Other_Faults
1048,869,877,899390,899399,52,9,9,5483,91,119,1626,1,0,70,0.9213,0.2778,0.8889,0.0049,0.8889,1.0,1.0,0.1111,-0.1762,0.1773,Bumps
500,39,194,2204696,2204771,5519,319,173,582040,34,135,1402,0,1,40,0.0556,0.5253,0.4839,0.1106,0.4859,0.4335,0.0,-0.5161,-0.1761,1.0,K_Scatch
1213,1065,1088,3203535,3203555,147,43,30,14312,84,124,1364,1,0,80,0.4047,0.6804,0.8696,0.0169,0.5349,0.6667,0.0,-0.1304,-0.2394,0.7411,Bumps
1468,747,758,949136,949144,71,14,8,7768,96,126,1698,0,1,60,0.8799,0.1932,0.7273,0.0065,0.7857,1.0,0.0,-0.2727,-0.1452,0.1934,Other_Faults
1824,42,53,141291,141311,135,19,20,7015,36,71,1356,1,0,300,0.0619,0.3864,0.55,0.0081,0.5789,1.0,1.0,0.45,-0.594,0.3663,Other_Faults
1095,355,378,2820561,2820612,631,46,51,68349,91,133,1364,0,1,40,0.5205,0.4621,0.451,0.0169,0.5,1.0,1.0,0.549,-0.1538,0.997,Bumps
41,1259,1271,1918092,1918128,324,30,36,30269,65,124,1353,0,1,70,0.1212,0.25,0.3333,0.0089,0.4,1.0,1.0,0.6667,-0.2701,0.7037,Pastry
1545,406,417,4025551,4025564,89,14,13,11759,125,143,1370,0,1,40,0.5927,0.3776,0.8461,0.008,0.7857,1.0,1.0,0.1539,0.0322,0.257,Other_Faults
303,7,19,2153394,2153410,93,19,17,9214,90,108,1356,1,0,70,0.0103,0.5156,0.75,0.0088,0.6316,0.9412,1.0,0.25,-0.226,0.3241,Z_Scratch
647,41,211,2052389,2052461,6476,296,156,675748,43,124,1356,0,1,40,0.0605,0.4709,0.4235,0.1254,0.5743,0.4615,0.0,-0.5765,-0.1848,1.0,K_Scatch
1066,1123,1140,34172,34180,76,18,8,10680,130,150,1698,1,0,85,0.6572,0.4412,0.4706,0.01,0.9444,1.0,0.0,-0.5294,0.0979,0.2482,Bumps
464,39,192,1554895,1555056,13185,572,370,1529932,30,141,1400,0,1,40,0.0557,0.4647,0.9503,0.1093,0.2675,0.4351,1.0,0.0497,-0.0935,1.0,K_Scatch
1830,156,163,48235,48244,36,8,9,6430,172,189,1353,0,1,200,0.2306,0.4286,0.7778,0.0052,0.875,1.0,1.0,0.2222,0.3954,0.1687,Other_Faults
973,205,214,2039121,2039135,84,14,14,9767,105,132,1356,0,1,40,0.3024,0.3333,0.6429,0.0066,0.6429,1.0,1.0,0.3571,-0.0916,0.2359,Bumps
1915,856,871,531684,531693,54,23,16,7145,125,143,1362,0,1,40,0.721,0.6,0.6,0.011,0.6522,0.5625,0.0,-0.4,0.0337,0.2469,Other_Faults
1657,890,944,2008592,2008620,345,86,56,45673,123,143,1694,0,1,70,0.8855,0.7718,0.5185,0.0319,0.6279,0.5,0.0,-0.4815,0.0343,0.9997,Other_Faults
1143,181,191,398801,398815,112,15,14,11998,87,126,1794,1,0,80,0.2018,0.2,0.7143,0.0056,0.6667,1.0,1.0,0.2857,-0.1631,0.2532,Bumps
1394,1090,1129,2312033,2312039,111,45,19,12886,109,126,1358,0,1,40,0.3373,0.5256,0.1539,0.0287,0.8667,0.3158,0.0,-0.8461,-0.0931,0.3882,Other_Faults
1415,159,168,953888,953896,54,9,8,6942,116,143,1687,1,0,100,0.1885,0.25,0.8889,0.0053,1.0,1.0,0.0,-0.1111,0.0043,0.1773,Other_Faults
1796,927,936,1971777,1971784,35,10,8,4277,117,127,1356,0,1,50,0.6195,0.4444,0.7778,0.0066,0.9,0.875,0.0,-0.2222,-0.0453,0.1687,Other_Faults
817,828,836,128854,128981,788,78,127,83011,86,125,1687,0,1,50,0.9816,0.2244,0.063,0.0047,0.1026,1.0,1.0,0.937,-0.177,0.9915,Dirtiness
582,43,200,696884,696948,6059,206,129,626256,45,125,1358,0,1,40,0.0633,0.397,0.4076,0.1156,0.7621,0.4961,0.0,-0.5924,-0.1925,1.0,K_Scatch
171,3,15,221100,221142,294,35,42,20642,47,95,1356,1,0,70,0.0044,0.4167,0.2857,0.0088,0.3429,1.0,1.0,0.7143,-0.4515,0.7933,Z_Scratch
1403,1094,1108,75122,75139,197,14,17,22098,89,132,1353,0,1,185,0.3622,0.1723,0.8235,0.0104,1.0,1.0,1.0,0.1765,-0.1236,0.3945,Other_Faults
1822,344,355,113753,113766,92,12,13,4690,29,71,1356,1,0,300,0.5074,0.3566,0.8461,0.0081,0.9167,1.0,1.0,0.1539,-0.6017,0.257,Other_Faults
213,65,104,896899,897032,2875,202,161,316233,82,133,1352,1,0,70,0.0962,0.4457,0.2932,0.0289,0.1931,0.8261,1.0,0.7068,-0.1407,1.0,Z_Scratch
131,1470,1488,1771553,1771642,771,50,89,76380,63,127,1698,0,1,90,0.2474,0.5187,0.2023,0.0106,0.36,1.0,1.0,0.7977,-0.2261,0.9998,Pastry
950,1674,1684,1161637,1161649,59,14,12,4717,72,93,1692,1,0,70,0.0095,0.5083,0.8333,0.0059,0.7143,1.0,1.0,0.1667,-0.3754,0.2288,Bumps
1744,1235,1258,2401744,2401760,152,36,23,19464,121,140,1600,0,1,40,0.4275,0.587,0.6956,0.0144,0.6389,0.6956,0.0,-0.3043,0.0004,0.6079,Other_Faults
1696,1051,1063,168407,168485,414,57,78,36600,78,101,1360,0,1,200,0.4368,0.5577,0.1539,0.0088,0.2105,1.0,1.0,0.8461,-0.3093,0.9856,Other_Faults
402,41,222,564200,564395,17977,796,513,2144244,24,143,1402,0,1,40,0.0585,0.4907,0.9282,0.1291,0.2274,0.3801,1.0,0.0718,-0.0681,1.0,K_Scatch
506,41,196,2289914,2290079,9518,743,453,1084425,41,141,1402,0,1,40,0.0585,0.6278,0.9394,0.1106,0.2086,0.3642,1.0,0.0606,-0.1099,1.0,K_Scatch
1573,1112,1133,808169,808480,3583,130,314,349860,65,122,1687,1,0,80,0.6568,0.4514,0.0675,0.0125,0.1615,0.9905,1.0,0.9325,-0.2371,1.0,Other_Faults
980,593,603,3384541,3384556,101,15,15,11431,99,125,1376,0,1,40,0.8619,0.3267,0.6667,0.0073,0.6667,1.0,1.0,0.3333,-0.1158,0.266,Bumps
830,1430,1466,5851552,5851560,134,47,13,17217,114,143,1650,1,0,69,0.223,0.5347,0.2222,0.0218,0.766,0.6154,0.0,-0.7778,0.0038,0.4763,Dirtiness
1402,1170,1182,61060,61074,126,12,14,14727,103,127,1353,0,1,185,0.2528,0.25,0.8571,0.0089,1.0,1.0,1.0,0.1429,-0.0869,0.2901,Other_Faults
1240,550,567,4625112,4625136,194,26,24,21649,99,126,1360,0,1,40,0.8088,0.5245,0.7083,0.0125,0.6539,1.0,1.0,0.2917,-0.1282,0.6693,Bumps
852,621,632,2086004,2086116,733,75,112,81625,98,127,1364,0,1,100,0.9106,0.405,0.0982,0.0081,0.1467,1.0,1.0,0.9018,-0.13,0.998,Dirtiness
557,43,176,366881,366932,4048,178,96,421512,50,126,1360,0,1,40,0.0632,0.4032,0.3835,0.0978,0.7472,0.5313,0.0,-0.6165,-0.1865,1.0,K_Scatch
490,39,197,1913522,1913670,12834,570,356,1487763,37,141,1400,0,1,40,0.0557,0.4512,0.9367,0.1129,0.2772,0.4157,0.0,-0.0633,-0.0944,1.0,K_Scatch
1396,902,936,31494,31567,1111,62,74,96340,50,108,1627,0,1,40,0.8494,0.5524,0.4658,0.0209,0.5484,0.9865,1.0,0.5343,-0.3225,1.0,Other_Faults
603,39,219,1516553,1516628,6999,285,165,732196,43,126,1358,0,1,40,0.0574,0.4816,0.4167,0.1326,0.6316,0.4545,0.0,-0.5833,-0.1827,1.0,K_Scatch
883,699,740,1503538,1503546,176,44,15,18466,90,119,1353,1,0,50,0.9061,0.4634,0.1951,0.0303,0.9318,0.5333,0.0,-0.8049,-0.1803,0.5428,Bumps
832,1427,1455,5897947,5897955,123,29,13,15711,117,141,1652,1,0,69,0.2385,0.4509,0.2857,0.017,0.9655,0.6154,0.0,-0.7143,-0.0021,0.3725,Dirtiness
730,233,345,98402,98450,3340,169,93,265172,35,103,1670,0,1,40,0.279,0.3787,0.4286,0.0671,0.6627,0.5161,0.0,-0.5714,-0.3797,1.0,K_Scatch
427,35,210,1029360,1029531,14963,779,468,1720418,22,141,1398,0,1,40,0.0501,0.5,0.9771,0.1252,0.2246,0.3654,0.0,-0.0229,-0.1017,1.0,K_Scatch
1263,221,242,3948212,3948253,519,33,41,48309,65,124,1360,1,0,200,0.325,0.3972,0.5122,0.0154,0.6364,1.0,1.0,0.4878,-0.2728,0.9765,Bumps
768,805,813,273908,273912,16,8,4,2121,114,148,1358,0,1,50,0.8026,0.5,0.5,0.0059,1.0,1.0,0.0,-0.5,0.0356,0.1417,Stains
1308,25,33,3277804,3277821,91,15,17,10957,105,141,1658,1,0,100,0.0302,0.3309,0.4706,0.0048,0.5333,1.0,1.0,0.5294,-0.0593,0.2482,Other_Faults
1150,1372,1388,784148,784164,131,22,17,16983,118,142,1694,1,0,80,0.3613,0.4883,1.0,0.0094,0.7273,0.9412,0.5,0.0,0.0128,0.4235,Bumps
1614,451,480,683320,683341,293,50,29,41492,133,151,1364,1,0,70,0.6613,0.5189,0.7241,0.0213,0.58,0.7241,0.0,-0.2759,0.1063,0.8854,Other_Faults
43,1580,1590,3884411,3884461,340,30,50,34655,88,116,1627,0,1,40,0.0455,0.32,0.2,0.0061,0.3333,1.0,1.0,0.8,-0.2037,0.7889,Pastry
1249,345,360,7203465,7203481,163,21,16,18644,99,127,1360,0,1,40,0.5074,0.3208,0.9375,0.011,0.7143,1.0,1.0,0.0625,-0.1064,0.3977,Bumps
985,204,226,921087,921104,105,37,20,13505,100,148,1368,1,0,69,0.2982,0.7193,0.7727,0.0161,0.5946,0.85,0.0,-0.2273,0.0048,0.6173,Bumps
139,1136,1142,1421726,1421746,83,14,20,9917,110,134,1696,0,1,60,0.6533,0.3083,0.3,0.0035,0.4286,1.0,1.0,0.7,-0.0666,0.2288,Pastry
1099,395,419,4680348,4680372,158,65,39,18480,111,126,1364,0,1,40,0.5792,0.7257,1.0,0.0176,0.3692,0.6154,0.5,0.0,-0.0862,0.8612,Bumps
789,305,319,1042404,1042410,32,16,8,4131,120,143,1356,0,1,50,0.4498,0.6191,0.4286,0.0103,0.875,0.75,0.0,-0.5714,0.0085,0.1892,Stains
1924,21,45,3063739,3063768,277,52,42,33476,113,128,1362,0,1,40,0.0308,0.602,0.8276,0.0176,0.4615,0.6905,1.0,0.1724,-0.0558,0.9324,Other_Faults
1886,1674,1682,570234,570244,35,14,10,2388,51,87,1686,1,0,150,0.0047,0.5625,0.8,0.0047,0.5714,1.0,1.0,0.2,-0.467,0.1852,Other_Faults
1723,15,32,1003575,1003594,132,18,20,14926,105,124,1387,0,1,40,0.0216,0.5913,0.8947,0.0123,0.9444,0.95,1.0,0.1053,-0.1166,0.5345,Other_Faults
204,8,31,751592,751656,521,61,67,31515,43,78,1358,1,0,70,0.0118,0.6461,0.3594,0.0169,0.3771,0.9552,1.0,0.6406,-0.5274,0.9996,Z_Scratch
189,1,16,494893,494946,397,50,56,21964,33,84,1354,1,0,70,0.0015,0.5006,0.283,0.0111,0.3,0.9464,1.0,0.717,-0.5678,0.9639,Z_Scratch
1853,1682,1688,1248097,1248109,53,6,12,3202,40,86,1692,1,0,70,0.0047,0.2639,0.5,0.0036,1.0,1.0,1.0,0.5,-0.528,0.1773,Other_Faults
621,190,192,1729556,1729557,2,2,1,255,126,133,1356,0,1,40,0.2802,0.0,0.5,0.0015,1.0,1.0,0.0,-0.5,-0.0039,0.119,K_Scatch
839,625,631,1934306,1934337,127,19,31,13897,99,125,1364,0,1,100,0.9164,0.3172,0.1936,0.0044,0.3158,1.0,1.0,0.8065,-0.1451,0.3154,Dirtiness
905,1633,1642,2097069,2097080,69,12,11,6235,77,109,1692,1,0,60,0.0591,0.303,0.8182,0.0053,0.75,1.0,1.0,0.1818,-0.294,0.2051,Bumps
1257,1161,1170,2520749,2520772,162,14,23,14626,73,124,1360,1,0,80,0.2794,0.2174,0.3913,0.0066,0.6429,1.0,1.0,0.6087,-0.2947,0.3464,Bumps
659,39,212,2233368,2233436,6310,290,151,658162,41,125,1356,0,1,40,0.0575,0.4636,0.3931,0.1276,0.5965,0.4503,0.0,-0.6069,-0.1851,1.0,K_Scatch
1647,995,1002,66318,66328,45,8,10,4552,93,118,1358,0,1,130,0.5243,0.3571,0.7,0.0052,0.875,1.0,1.0,0.3,-0.2097,0.1753,Other_Faults
13,581,590,230644,230704,433,22,60,38917,62,111,1687,0,1,150,0.6888,0.1981,0.15,0.0053,0.4091,1.0,1.0,0.85,-0.2978,0.8299,Pastry
56,333,346,5683008,5683014,51,14,7,6902,120,149,1650,1,0,69,0.4036,0.3462,0.4615,0.0079,0.9286,0.8571,0.0,-0.5385,0.0573,0.1832,Pastry
197,397,415,604478,604528,444,58,50,51661,97,134,1358,1,0,70,0.5847,0.5067,0.36,0.0132,0.3103,1.0,1.0,0.64,-0.091,0.9818,Z_Scratch
1047,729,742,832264,832282,148,21,19,15761,96,117,1626,1,0,70,0.8967,0.3675,0.7222,0.008,0.6191,0.9474,1.0,0.2778,-0.168,0.3882,Bumps
1012,1307,1316,2633467,2633484,96,21,18,11447,108,134,1362,1,0,100,0.0676,0.3726,0.5294,0.0066,0.4286,0.9444,1.0,0.4706,-0.0684,0.2699,Bumps
754,615,625,1398169,1398179,65,12,10,7104,89,126,1358,0,1,50,0.9057,0.35,1.0,0.0074,0.8333,1.0,0.5,0.0,-0.1461,0.2061,Stains
1571,507,517,399348,399363,116,10,15,11910,75,123,1687,1,0,80,0.6011,0.2267,0.6667,0.0059,1.0,1.0,1.0,0.3333,-0.1979,0.266,Other_Faults
415,39,212,862475,862693,17357,794,495,2034432,27,142,1400,0,1,40,0.0557,0.5398,0.7936,0.1236,0.2179,0.4404,1.0,0.2064,-0.0843,1.0,K_Scatch
1769,864,893,707122,707137,238,56,31,30361,118,140,1364,0,1,50,0.6906,0.4529,0.5172,0.0213,0.5179,0.4839,0.0,-0.4828,-0.0034,0.7079,Other_Faults
644,98,192,2013457,2013541,2795,312,171,349157,115,140,1358,0,1,40,0.1443,0.646,0.8936,0.0692,0.3013,0.4912,0.0,-0.1064,-0.024,1.0,K_Scatch
520,39,180,2552670,2552812,8957,588,360,1025103,35,141,1400,0,1,40,0.0557,0.5526,0.993,0.1007,0.2398,0.3944,1.0,0.007,-0.1059,1.0,K_Scatch
294,85,101,2023127,2023150,268,28,25,26356,84,118,1356,1,0,70,0.1254,0.2717,0.6956,0.0118,0.5714,0.92,1.0,0.3043,-0.2317,0.6079,Z_Scratch
